Product Id,Product Handle,Product Title,Product Subtitle,Product Description,Product Status,Product Thumbnail,Product Weight,Product Length,Product Width,Product Height,Product HS Code,Product Origin Country,Product MID Code,Product Material,Shipping Profile Id,Product Sales Channel 1,Product Collection Id,Product Type Id,Product Tag 1,Product Discountable,Product External Id,Variant Id,Variant Title,Variant SKU,Variant Barcode,Variant Allow Backorder,Variant Manage Inventory,Variant Weight,Variant Length,Variant Width,Variant Height,Variant HS Code,Variant Origin Country,Variant MID Code,Variant Material,Variant Price EUR,Variant Price USD,Variant Option 1 Name,Variant Option 1 Value,Product Image 1 Url,Product Image 2 Url
,black-essential-tee-001,Black Essential Tee,Black / Cotton,Everyday cotton T-shirt with a clean regular fit. Color: Black. Made from cotton. Designed for modern everyday outfits.,published,https://medusa-public-images.s3.eu-west-1.amazonaws.com/tee-black-front.png,320,31,25,4,6109,VN,,Cotton,,,,,clothing,TRUE,EXT-0001,,S,BLAESSTEE001-S,8930000000010,FALSE,TRUE,320,31,25,4,6109,VN,,Cotton,24.0,29,Size,S,https://medusa-public-images.s3.eu-west-1.amazonaws.com/tee-black-front.png,https://medusa-public-images.s3.eu-west-1.amazonaws.com/tee-black-back.png
,black-essential-tee-001,Black Essential Tee,Black / Cotton,Everyday cotton T-shirt with a clean regular fit. Color: Black. Made from cotton. Designed for modern everyday outfits.,published,https://medusa-public-images.s3.eu-west-1.amazonaws.com/tee-black-front.png,320,31,25,4,6109,VN,,Cotton,,,,,clothing,TRUE,EXT-0001,,M,BLAESSTEE001-M,8930000000011,FALSE,TRUE,332,31,25,4,6109,VN,,Cotton,25.5,31,Size,M,https://medusa-public-images.s3.eu-west-1.amazonaws.com/tee-black-front.png,https://medusa-public-images.s3.eu-west-1.amazonaws.com/tee-black-back.png
,black-essential-tee-001,Black Essential Tee,Black / Cotton,Everyday cotton T-shirt with a clean regular fit. Color: Black. Made from cotton. Designed for modern everyday outfits.,published,https://medusa-public-images.s3.eu-west-1.amazonaws.com/tee-black-front.png,320,31,25,4,6109,VN,,Cotton,,,,,clothing,TRUE,EXT-0001,,L,BLAESSTEE001-L,8930000000012,FALSE,TRUE,344,31,25,4,6109,VN,,Cotton,27.0,33,Size,L,https://medusa-public-images.s3.eu-west-1.amazonaws.com/tee-black-front.png,https://medusa-public-images.s3.eu-west-1.amazonaws.com/tee-black-back.png
,black-essential-tee-001,Black Essential Tee,Black / Cotton,Everyday cotton T-shirt with a clean regular fit. Color: Black. Made from cotton. Designed for modern everyday outfits.,published,https://medusa-public-images.s3.eu-west-1.amazonaws.com/tee-black-front.png,320,31,25,4,6109,VN,,Cotton,,,,,clothing,TRUE,EXT-0001,,XL,BLAESSTEE001-XL,8930000000013,FALSE,TRUE,356,31,25,4,6109,VN,,Cotton,28.5,35,Size,XL,https://medusa-public-images.s3.eu-west-1.amazonaws.com/tee-black-front.png,https://medusa-public-images.s3.eu-west-1.amazonaws.com/tee-black-back.png
,white-classic-tee-002,White Classic Tee,White / Cotton jersey,Soft jersey T-shirt designed for daily wear. Color: White. Made from cotton jersey. Designed for modern everyday outfits.,published,https://medusa-public-images.s3.eu-west-1.amazonaws.com/tee-white-front.png,330,32,26,5,6109,PT,,Cotton jersey,,,,,clothing,TRUE,EXT-0002,,S,WHICLATEE002-S,8930000000020,FALSE,TRUE,330,32,26,5,6109,PT,,Cotton jersey,22.0,27,Size,S,https://medusa-public-images.s3.eu-west-1.amazonaws.com/tee-white-front.png,https://medusa-public-images.s3.eu-west-1.amazonaws.com/tee-white-back.png
,white-classic-tee-002,White Classic Tee,White / Cotton jersey,Soft jersey T-shirt designed for daily wear. Color: White. Made from cotton jersey. Designed for modern everyday outfits.,published,https://medusa-public-images.s3.eu-west-1.amazonaws.com/tee-white-front.png,330,32,26,5,6109,PT,,Cotton jersey,,,,,clothing,TRUE,EXT-0002,,M,WHICLATEE002-M,8930000000021,FALSE,TRUE,342,32,26,5,6109,PT,,Cotton jersey,23.5,29,Size,M,https://medusa-public-images.s3.eu-west-1.amazonaws.com/tee-white-front.png,https://medusa-public-images.s3.eu-west-1.amazonaws.com/tee-white-back.png
,white-classic-tee-002,White Classic Tee,White / Cotton jersey,Soft jersey T-shirt designed for daily wear. Color: White. Made from cotton jersey. Designed for modern everyday outfits.,published,https://medusa-public-images.s3.eu-west-1.amazonaws.com/tee-white-front.png,330,32,26,5,6109,PT,,Cotton jersey,,,,,clothing,TRUE,EXT-0002,,L,WHICLATEE002-L,8930000000022,FALSE,TRUE,354,32,26,5,6109,PT,,Cotton jersey,25.0,31,Size,L,https://medusa-public-images.s3.eu-west-1.amazonaws.com/tee-white-front.png,https://medusa-public-images.s3.eu-west-1.amazonaws.com/tee-white-back.png
,white-classic-tee-002,White Classic Tee,White / Cotton jersey,Soft jersey T-shirt designed for daily wear. Color: White. Made from cotton jersey. Designed for modern everyday outfits.,published,https://medusa-public-images.s3.eu-west-1.amazonaws.com/tee-white-front.png,330,32,26,5,6109,PT,,Cotton jersey,,,,,clothing,TRUE,EXT-0002,,XL,WHICLATEE002-XL,8930000000023,FALSE,TRUE,366,32,26,5,6109,PT,,Cotton jersey,26.5,33,Size,XL,https://medusa-public-images.s3.eu-west-1.amazonaws.com/tee-white-front.png,https://medusa-public-images.s3.eu-west-1.amazonaws.com/tee-white-back.png
,navy-oversized-tee-003,Navy Oversized Tee,Navy / Cotton,Relaxed oversized T-shirt with a streetwear silhouette. Color: Navy. Made from cotton. Designed for modern everyday outfits.,published,https://medusa-public-images.s3.eu-west-1.amazonaws.com/sweatshirt-vintage-front.png,360,33,27,6,6109,TR,,Cotton,,,,,clothing,TRUE,EXT-0003,,S,NAVOVETEE003-S,8930000000030,FALSE,TRUE,360,33,27,6,6109,TR,,Cotton,26.0,31,Size,S,https://medusa-public-images.s3.eu-west-1.amazonaws.com/sweatshirt-vintage-front.png,https://medusa-public-images.s3.eu-west-1.amazonaws.com/sweatshirt-vintage-back.png
,navy-oversized-tee-003,Navy Oversized Tee,Navy / Cotton,Relaxed oversized T-shirt with a streetwear silhouette. Color: Navy. Made from cotton. Designed for modern everyday outfits.,published,https://medusa-public-images.s3.eu-west-1.amazonaws.com/sweatshirt-vintage-front.png,360,33,27,6,6109,TR,,Cotton,,,,,clothing,TRUE,EXT-0003,,M,NAVOVETEE003-M,8930000000031,FALSE,TRUE,372,33,27,6,6109,TR,,Cotton,27.5,33,Size,M,https://medusa-public-images.s3.eu-west-1.amazonaws.com/sweatshirt-vintage-front.png,https://medusa-public-images.s3.eu-west-1.amazonaws.com/sweatshirt-vintage-back.png
