index,expected_intent,text,conversation_id,guest_id,ok,actual_lex_intent,resolved_intent,resolution_source,search_status,current_product_name,current_order_code,duration_ms,message_preview,error
1,ProductSearchIntent,kiếm iphone 16 pro max,conv_lex_smoke_20260614T015449Z,guest_lex_smoke_20260614T015449Z,True,ProductSearchIntent,product_search,local_nlu,product_not_found,,,1618.06,Mình chưa tìm thấy sản phẩm phù hợp. Bạn có thể nhập tên sản phẩm cụ thể hơn không?,
2,ProductSearchIntent,có samsung dòng s không,conv_lex_smoke_20260614T015449Z,guest_lex_smoke_20260614T015449Z,True,ProductSearchIntent,product_search,local_nlu,success,,,350.82,Sản phẩm phù hợp  Mình tìm thấy một số sản phẩm phù hợp: - Samsung Galaxy S26 Plus: 25.990.000 VNĐ - Ưu đãi: Chưa có chương trình khuyến mãi - Samsung Galaxy S26 Ultra: 32.990.000 VNĐ - Ưu đãi: Chưa có chương trình khuyến mãi - Samsung Gala,
3,ProductSearchIntent,tìm điện thoại dưới 15 triệu,conv_lex_smoke_20260614T015449Z,guest_lex_smoke_20260614T015449Z,True,ProductSearchIntent,product_search,local_nlu,success,,,577.05,Sản phẩm phù hợp  Mình tìm thấy một số sản phẩm phù hợp: - iPhone 11: 6.990.000 VNĐ - Ưu đãi: Chưa có chương trình khuyến mãi - iPhone 12: 8.490.000 VNĐ - Ưu đãi: Chưa có chương trình khuyến mãi - iPhone 14: 12.990.000 VNĐ - Ưu đãi: Chưa có,
4,ProductSearchIntent,cho xem máy oppo mới nhất,conv_lex_smoke_20260614T015449Z,guest_lex_smoke_20260614T015449Z,True,ProductSearchIntent,product_search,local_nlu,success,OPPO Find X8 Pro,,460.46,"Sản phẩm phù hợp  Mình tìm thấy một số sản phẩm phù hợp: - OPPO Find X8 Pro: 22.990.000 VNĐ - Ưu đãi: Chưa có chương trình khuyến mãi {""richContent"": [[{""type"": ""image"", ""rawUrl"": ""https://www.oppo.com/content/dam/oppo/common/mkt/v2-2/find-",
5,ProductSearchIntent,shop bán xiaomi nào ngon,conv_lex_smoke_20260614T015449Z,guest_lex_smoke_20260614T015449Z,True,ProductSearchIntent,product_search,local_nlu,success,,,571.24,Sản phẩm phù hợp  Mình tìm thấy một số sản phẩm phù hợp: - iPhone 17: 22.990.000 VNĐ - Ưu đãi: Chưa có chương trình khuyến mãi - iPhone 15: 15.990.000 VNĐ - Ưu đãi: Chưa có chương trình khuyến mãi - Samsung Galaxy S26 Plus: 25.990.000 VNĐ -,
6,ProductSearchIntent,còn điện thoại nào tầm 10 củ không,conv_lex_smoke_20260614T015449Z,guest_lex_smoke_20260614T015449Z,True,ProductSearchIntent,product_search,local_nlu,success,,,355.27,"Sản phẩm phù hợp  Mình tìm thấy một số sản phẩm phù hợp: - iPhone 11: 6.990.000 VNĐ - Ưu đãi: Chưa có chương trình khuyến mãi - iPhone 12: 8.490.000 VNĐ - Ưu đãi: Chưa có chương trình khuyến mãi {""richContent"": [[{""type"": ""image"", ""rawUrl"":",
7,ProductPriceIntent,iphone 16 giá nhiêu,conv_lex_smoke_20260614T015449Z,guest_lex_smoke_20260614T015449Z,True,ProductPriceIntent,product_price,local_nlu,success,iPhone 16,,470.79,"### iPhone 16  ![iPhone 16](https://fdn2.gsmarena.com/vv/pics/apple/apple-iphone-16-1.jpg)  **Giá từ:** 19.990.000 VNĐ **Khuyến mãi:** Chưa có chương trình khuyến mãi **Size:** 128GB / Black, 128GB / Ultramarine, 128GB / White, 256GB / Blac",
8,ProductPriceIntent,giá con samsung s25 ultra,conv_lex_smoke_20260614T015449Z,guest_lex_smoke_20260614T015449Z,True,ProductPriceIntent,product_price,local_nlu,success,Samsung Galaxy S26 Ultra,,689.99,"### Samsung Galaxy S26 Ultra  ![Samsung Galaxy S26 Ultra](https://fdn2.gsmarena.com/vv/pics/samsung/samsung-galaxy-s26-ultra-1.jpg)  **Giá từ:** 32.990.000 VNĐ **Khuyến mãi:** Chưa có chương trình khuyến mãi **Size:** 1TB / Titanium Black, ",
9,ProductPriceIntent,bản 512gb của iphone 16 pro max bao nhiêu,conv_lex_smoke_20260614T015449Z,guest_lex_smoke_20260614T015449Z,True,ProductPriceIntent,product_price,local_nlu,product_not_found,Samsung Galaxy S26 Ultra,,472.18,Mình chưa tìm thấy sản phẩm phù hợp. Bạn có thể nhập tên sản phẩm cụ thể hơn không?,
10,ProductPriceIntent,máy này giá sao,conv_lex_smoke_20260614T015449Z,guest_lex_smoke_20260614T015449Z,True,ProductPriceIntent,product_price,local_nlu,success,Samsung Galaxy S26 Ultra,,544.3,"### Samsung Galaxy S26 Ultra  ![Samsung Galaxy S26 Ultra](https://fdn2.gsmarena.com/vv/pics/samsung/samsung-galaxy-s26-ultra-1.jpg)  **Giá từ:** 32.990.000 VNĐ **Khuyến mãi:** Chưa có chương trình khuyến mãi **Size:** 1TB / Titanium Black, ",
