case_id,type,turn_1_expected,turn_1,turn_2_expected,turn_2,turn_3_expected,turn_3,turn_4_expected,turn_4
1,product_context,product_price,iPhone 16 giá bao nhiêu,ProductAvailabilityIntent,máy này còn hàng không,StoreInfoIntent,shop mở cửa lúc mấy giờ,ProductPriceIntent,giá bao nhiêu
2,product_context,product_price,iPhone 16 giá bao nhiêu,ProductAvailabilityIntent,máy này còn hàng không,StoreInfoIntent,shop mở cửa lúc mấy giờ,ProductAvailabilityIntent,còn hàng không
3,product_context,product_price,iPhone 16 giá bao nhiêu,ProductAvailabilityIntent,máy này còn hàng không,StoreInfoIntent,shop mở cửa lúc mấy giờ,WarrantyPolicyIntent,bảo hành bao lâu
4,product_context,product_price,iPhone 16 giá bao nhiêu,ProductAvailabilityIntent,máy này còn hàng không,StoreInfoIntent,shop mở cửa lúc mấy giờ,ProductCameraIntent,camera thế nào
5,product_context,product_price,iPhone 16 giá bao nhiêu,ProductAvailabilityIntent,máy này còn hàng không,StoreInfoIntent,shop mở cửa lúc mấy giờ,ProductBatteryIntent,pin có tốt không
6,product_context,product_price,iPhone 16 giá bao nhiêu,ProductAvailabilityIntent,máy này còn hàng không,GreetingIntent,xin chào shop,ProductPriceIntent,giá bao nhiêu
7,product_context,product_price,iPhone 16 giá bao nhiêu,ProductAvailabilityIntent,máy này còn hàng không,GreetingIntent,xin chào shop,ProductAvailabilityIntent,còn hàng không
8,product_context,product_price,iPhone 16 giá bao nhiêu,ProductAvailabilityIntent,máy này còn hàng không,GreetingIntent,xin chào shop,WarrantyPolicyIntent,bảo hành bao lâu
9,product_context,product_price,iPhone 16 giá bao nhiêu,ProductAvailabilityIntent,máy này còn hàng không,GreetingIntent,xin chào shop,ProductCameraIntent,camera thế nào
10,product_context,product_price,iPhone 16 giá bao nhiêu,ProductAvailabilityIntent,máy này còn hàng không,GreetingIntent,xin chào shop,ProductBatteryIntent,pin có tốt không
11,product_context,product_price,iPhone 16 giá bao nhiêu,ProductAvailabilityIntent,máy này còn hàng không,FallbackIntent,kể cho tôi chuyện cổ tích,ProductPriceIntent,giá bao nhiêu
12,product_context,product_price,iPhone 16 giá bao nhiêu,ProductAvailabilityIntent,máy này còn hàng không,FallbackIntent,kể cho tôi chuyện cổ tích,ProductAvailabilityIntent,còn hàng không
13,product_context,product_price,iPhone 16 giá bao nhiêu,ProductAvailabilityIntent,máy này còn hàng không,FallbackIntent,kể cho tôi chuyện cổ tích,WarrantyPolicyIntent,bảo hành bao lâu
14,product_context,product_price,iPhone 16 giá bao nhiêu,ProductAvailabilityIntent,máy này còn hàng không,FallbackIntent,kể cho tôi chuyện cổ tích,ProductCameraIntent,camera thế nào
15,product_context,product_price,iPhone 16 giá bao nhiêu,ProductAvailabilityIntent,máy này còn hàng không,FallbackIntent,kể cho tôi chuyện cổ tích,ProductBatteryIntent,pin có tốt không
16,product_context,product_price,iPhone 16 giá bao nhiêu,ProductAvailabilityIntent,máy này còn hàng không,HumanHandoffIntent,cho tôi gặp nhân viên,ProductPriceIntent,giá bao nhiêu
